AAEXERCICIO,CD_MENSAL,VR_INICIAL,VR_ATUALIZADO,VR_EFETIVADO,VR_ACUMULADO,CD_PAI,NR_NIVEL
"FUNDOS",2012,3,0.00,11415000.00,791029624.30,2188931416.16,,1
"ADMINISTRACAO DIRETA",2012,4,0.00,8204357.00,3716080485.97,15913623592.00,,1
"ADMINISTRACAO INDIRETA",2012,4,0.00,51608216.00,277400929.75,941088433.63,,1
"EMPRESA EST. DEPENDENTES",2012,4,0.00,0.00,6653111.80,25451696.71,,1
"FUNDOS",2012,4,0.00,11974000.00,824402363.38,3013333779.54,,1
"ADMINISTRACAO DIRETA",2012,5,0.00,230401525.00,3464964459.16,19378588051.16,,1
"ADMINISTRACAO INDIRETA",2012,5,0.00,1520950.00,270508004.10,1211596437.73,,1
"EMPRESA EST. DEPENDENTES",2012,5,0.00,0.00,9623000.29,35074697.00,,1
"FUNDOS",2012,5,0.00,8250000.00,974612659.73,3987946439.27,,1
"ADMINISTRACAO DIRETA",2012,6,0.00,4019955277.00,3631315988.53,23009904039.69,,1
"ADMINISTRACAO INDIRETA",2012,6,0.00,10000.00,221948640.67,1433545078.40,,1
"EMPRESA EST. DEPENDENTES",2012,6,0.00,0.00,1682272.37,36756969.37,,1
"FUNDOS",2012,6,0.00,0.00,785683560.83,4773630000.10,,1
"ADMINISTRACAO DIRETA",2012,7,0.00,92636276.00,3630058532.66,26639962572.35,,1
"ADMINISTRACAO INDIRETA",2012,7,0.00,2392300.00,237833936.81,1671379015.21,,1
"EMPRESA EST. DEPENDENTES",2012,7,0.00,0.00,5607192.74,42364162.11,,1
"FUNDOS",2012,7,0.00,9500000.00,656853360.31,5430483360.41,,1
"ADMINISTRACAO DIRETA",2012,8,0.00,103918289.00,3562426003.17,30202388575.52,,1
"ADMINISTRACAO INDIRETA",2012,8,0.00,6772741.00,330058995.00,2001438010.21,,1
"EMPRESA EST. DEPENDENTES",2012,8,0.00,0.00,5858441.73,48222603.84,,1
"FUNDOS",2012,8,0.00,1001.00,945947908.10,6376431268.51,,1
"ADMINISTRACAO DIRETA",2012,9,0.00,534600798.00,3818980795.30,34021369370.82,,1
"ADMINISTRACAO INDIRETA",2012,9,0.00,1000.00,260282155.50,2261720165.71,,1
"EMPRESA EST. DEPENDENTES",2012,9,0.00,0.00,8762062.07,56984665.91,,1
"FUNDOS",2012,9,0.00,50000.00,716515443.82,7092946712.33,,1
"ADMINISTRACAO DIRETA",2012,10,0.00,-183001188.00,3608524275.21,37629893646.03,,1
"ADMINISTRACAO INDIRETA",2012,10,0.00,8689813.00,292294204.47,2554014370.18,,1
"EMPRESA EST. DEPENDENTES",2012,10,0.00,0.00,7219551.59,64204217.50,,1
"FUNDOS",2012,10,0.00,2280000.00,1085001532.07,8177948244.40,,1
"ADMINISTRACAO DIRETA",2012,11,0.00,2340556000.00,4387193245.39,42017086891.42,,1
"ADMINISTRACAO INDIRETA",2012,11,0.00,113000.00,273434943.36,2827449313.54,,1
"EMPRESA EST. DEPENDENTES",2012,11,0.00,0.00,18039121.87,82243339.37,,1
"FUNDOS",2012,11,0.00,0.00,1148305009.02,9326253253.42,,1
"ADMINISTRACAO DIRETA",2012,12,0.00,886556975.00,9168911165.22,51185998056.64,,1
"ADMINISTRACAO INDIRETA",2012,12,0.00,2276205.00,480546746.37,3307996059.91,,1
"EMPRESA EST. DEPENDENTES",2012,12,0.00,0.00,6263373.38,88506712.75,,1
"FUNDOS",2012,12,0.00,287064.00,1339854266.45,10666107519.87,,1
"ADMINISTRACAO DIRETA",2013,1,54301284189.00,54698702254.00,6834437521.81,6834437521.81,,1
"ADMINISTRACAO INDIRETA",2013,1,3914428182.00,3936669934.00,160789858.54,160789858.54,,1
"EMPRESA EST. DEPENDENTES",2013,1,78653643.00,78653643.00,6464678.15,6464678.15,,1
"FUNDOS",2013,1,9807265659.00,9807265659.00,586664988.74,586664988.74,,1
"ADMINISTRACAO DIRETA",2013,2,0.00,2635931278.00,6608880330.78,13443317852.59,,1
"ADMINISTRACAO INDIRETA",2013,2,0.00,106105574.00,306665627.21,467455485.75,,1
"EMPRESA EST. DEPENDENTES",2013,2,0.00,10000.00,7243684.60,13708362.75,,1
"FUNDOS",2013,2,0.00,13575000.00,914171285.33,1500836274.07,,1
"ADMINISTRACAO DIRETA",2013,3,0.00,252867448.00,4207472617.10,17650790469.69,,1
"ADMINISTRACAO INDIRETA",2013,3,0.00,66069282.00,253390549.26,720846035.01,,1
"EMPRESA EST. DEPENDENTES",2013,3,0.00,0.00,4580684.15,18289046.90,,1
"FUNDOS",2013,3,0.00,501947.00,884948808.24,2385785082.31,,1
"ADMINISTRACAO DIRETA",2013,4,0.00,185970932.00,4142357705.70,21793148175.39,,1
"ADMINISTRACAO INDIRETA",2013,4,0.00,7659348.00,326562996.40,1047409031.41,,1
"EMPRESA EST. DEPENDENTES",2013,4,0.00,0.00,6661639.38,24950686.28,,1
"FUNDOS",2013,4,0.00,0.00,962889726.34,3348674808.65,,1
"ADMINISTRACAO DIRETA",2013,5,0.00,34149865.00,3955989456.66,25749137632.05,,1
"ADMINISTRACAO INDIRETA",2013,5,0.00,5250536.00,257260098.20,1304669129.61,,1
"EMPRESA EST. DEPENDENTES",2013,5,0.00,0.00,7515430.58,32466116.86,,1
"FUNDOS",2013,5,0.00,0.00,998397373.47,4347072182.12,,1
"ADMINISTRACAO DIRETA",2013,6,0.00,32207343.00,4239700976.23,29988838608.28,,1
"ADMINISTRACAO INDIRETA",2013,6,0.00,19960092.00,266702704.43,1571371834.04,,1
"EMPRESA EST. DEPENDENTES",2013,6,0.00,0.00,9755519.48,42221636.34,,1
"FUNDOS",2013,6,0.00,5517139.00,1018614397.26,5365686579.38,,1
"ADMINISTRACAO DIRETA",2013,7,0.00,256883700.00,3806516028.33,33795354636.61,,1
"ADMINISTRACAO INDIRETA",2013,7,0.00,2410760.00,255902978.86,1827274812.90,,1
"EMPRESA EST. DEPENDENTES",2013,7,0.00,0.00,5302344.68,47523981.02,,1
"FUNDOS",2013,7,0.00,25000000.00,867225180.43,6232911759.81,,1
"ADMINISTRACAO DIRETA",2013,8,0.00,15399622.00,3953387315.60,37748741952.21,,1
"ADMINISTRACAO INDIRETA",2013,8,0.00,5035599.00,203135973.80,2030410786.70,,1
"EMPRESA EST. DEPENDENTES",2013,8,0.00,0.00,7744682.09,55268663.11,,1
"FUNDOS",2013,8,0.00,6210151.00,836592876.85,7069504636.66,,1
"ADMINISTRACAO DIRETA",2013,9,0.00,0.00,3925725297.99,41674467250.20,,1
"ADMINISTRACAO INDIRETA",2013,9,0.00,383621.00,318955737.20,2349366523.90,,1
"EMPRESA EST. DEPENDENTES",2013,9,0.00,0.00,10759939.56,66028602.67,,1
"FUNDOS",2013,9,0.00,0.00,962156633.46,8031661270.12,,1
"ADMINISTRACAO DIRETA",2013,10,0.00,1011000.00,2393987953.44,44068455203.64,,1
"ADMINISTRACAO INDIRETA",2013,10,0.00,186582000.00,120919482.48,2470286006.38,,1
"EMPRESA EST. DEPENDENTES",2013,10,0.00,0.00,0.00,66028602.67,,1
"FUNDOS",2013,10,0.00,0.00,214854327.02,8246515597.14,,1
"ADMINISTRACAO DIRETA",2013,11,0.00,0.00,0.00,44068455203.64,,1
"ADMINISTRACAO INDIRETA",2013,11,0.00,0.00,0.00,2470286006.38,,1
"EMPRESA EST. DEPENDENTES",2013,11,0.00,0.00,0.00,66028602.67,,1
"FUNDOS",2013,11,0.00,0.00,0.00,8246515597.14,,1
"ADMINISTRACAO DIRETA",2013,12,0.00,0.00,0.00,44068455203.64,,1
"ADMINISTRACAO INDIRETA",2013,12,0.00,0.00,0.00,2470286006.38,,1
"EMPRESA EST. DEPENDENTES",2013,12,0.00,0.00,0.00,66028602.67,,1
"FUNDOS",2013,12,0.00,0.00,0.00,8246515597.14,,1
